"order","date","customer","item","amount","quantity","price"
"11110000840","2020/03/06","11ELECOM684","401",38.33,2,19.165
"11110000840","2020/03/06","11ELECOM684","532",0,1,0
"11110000840","2020/03/06","11ELECOM684","807",0,1,0
"11110000842","2020/03/06","11ELECOM685","58860",35,1,35
"11110000842","2020/03/06","11ELECOM685","530",0,1,0
"11110000842","2020/03/06","11ELECOM685","520",0,1,0
"11110000843","2020/03/06","11ELECOM686","841",7.67,1,7.67
"11110000843","2020/03/06","11ELECOM686","814",7.08,1,7.08
"11110000843","2020/03/06","11ELECOM686","809",18.92,1,18.92
"11110000843","2020/03/06","11ELECOM686","445",11,1,11
"11110000843","2020/03/06","11ELECOM686","518",25,1,25
"11110000843","2020/03/06","11ELECOM686","598",0,1,0
"11110000843","2020/03/06","11ELECOM686","807",0,1,0
"11110000844","2020/03/06","11ELECOM688","520",7.08,1,7.08
"11110000844","2020/03/06","11ELECOM688","520",0,1,0
"11110000844","2020/03/06","11ELECOM688","807",0,1,0
"11110000846","2020/03/06","11ELECOM690","48942",56.32,1,56.32
"11110000846","2020/03/06","11ELECOM690","598",0,1,0
"11110000846","2020/03/06","11ELECOM690","805",0,1,0
"11110000847","2020/03/06","11ELECOM692","50204",20.83,1,20.83
"11110000847","2020/03/06","11ELECOM692","532",0,1,0
"11110000847","2020/03/06","11ELECOM692","520",0,1,0
"11110000848","2020/03/06","11ELECOM693","214",18.75,1,18.75
"11110000848","2020/03/06","11ELECOM693","48054",31.67,1,31.67
"11110000848","2020/03/06","11ELECOM693","532",0,1,0
"11110000848","2020/03/06","11ELECOM693","810",0,1,0
"11110000850","2020/03/06","11ELECOM695","48942",56.32,1,56.32
"11110000850","2020/03/06","11ELECOM695","805",0,1,0
"11110000850","2020/03/06","11ELECOM695","520",0,1,0
"11110000857","2020/04/06","11ELECOM696","226",18.75,1,18.75
"11110000857","2020/04/06","11ELECOM696","807",0,1,0
"11110000857","2020/04/06","11ELECOM696","470",0,1,0
"11110000858","2020/04/06","11ELECOM697","50866",40,2,20
"11110000858","2020/04/06","11ELECOM697","520",0,1,0
"11110000858","2020/04/06","11ELECOM697","530",0,2,0
"11110000860","2020/04/06","11ELECOM698","58765",33.25,1,33.25
"11110000860","2020/04/06","11ELECOM698","50443",0,1,0
"11110000860","2020/04/06","11ELECOM698","478",0,1,0
"11110000861","2020/04/06","11ELECOM699","58280",8.33,1,8.33
"11110000861","2020/04/06","11ELECOM699","810",0,1,0
"11110000861","2020/04/06","11ELECOM699","50443",0,1,0
"11110000862","2020/04/06","11ELECOM700","50475",3.42,1,3.42
"11110000862","2020/04/06","11ELECOM700","598",0,1,0
"11110000862","2020/04/06","11ELECOM700","810",0,1,0
"11110000863","2020/04/06","11ELECOM701","50860",20,1,20
"11110000863","2020/04/06","11ELECOM701","810",0,1,0
"11110000863","2020/04/06","11ELECOM701","598",0,1,0
"11110000865","2020/04/06","11ELECOM354","48942",56.32,1,56.32
"11110000865","2020/04/06","11ELECOM354","805",0,1,0
"11110000867","2020/04/06","11ELECOM34","267",0,1,0
"11110000867","2020/04/06","11ELECOM34","834",0,1,0
"11110000867","2020/04/06","11ELECOM34","810",0,1,0
"11110000869","2020/04/06","11ELECOM688","487",5.83,1,5.83
"11110000869","2020/04/06","11ELECOM688","520",0,1,0
"11110000869","2020/04/06","11ELECOM688","470",0,1,0
"11110000868","2020/04/06","11ELECOM702","48942",56.32,1,56.32
"11110000868","2020/04/06","11ELECOM702","598",0,1,0
"11110000868","2020/04/06","11ELECOM702","810",0,1,0
"11110000870","2020/04/06","11ELECOM703","50439",10.5,1,10.5
"11110000870","2020/04/06","11ELECOM703","598",0,1,0
"11110000870","2020/04/06","11ELECOM703","520",0,1,0
"11110000871","2020/04/06","11ELECOM704","58362",29.17,1,29.17
"11110000871","2020/04/06","11ELECOM704","532",0,1,0
"11110000871","2020/04/06","11ELECOM704","530",0,1,0
"11110000872","2020/04/06","11ELECOM705","230",41.25,1,41.25
"11110000872","2020/04/06","11ELECOM705","805",0,1,0
"11110000872","2020/04/06","11ELECOM705","810",0,1,0
"11110000875","2020/04/06","11ELECOM708","48942",56.32,1,56.32
"11110000875","2020/04/06","11ELECOM708","598",0,1,0
"11110000875","2020/04/06","11ELECOM708","805",0,1,0
"11110000876","2020/04/06","11ELECOM543","58860",35,1,35
"11110000876","2020/04/06","11ELECOM543","598",0,1,0
"11110000876","2020/04/06","11ELECOM543","470",0,1,0
"11110000878","2020/04/06","11ELECOM709","174",29.17,1,29.17
"11110000878","2020/04/06","11ELECOM709","807",0,1,0
"11110000878","2020/04/06","11ELECOM709","598",0,1,0
"11110000880","2020/04/06","11ELECOM710","302",18.75,1,18.75
"11110000880","2020/04/06","11ELECOM710","149",20.83,1,20.83
"11110000880","2020/04/06","11ELECOM710","40200",15.83,1,15.83
"11110000880","2020/04/06","11ELECOM710","801",5,1,5
"11110000880","2020/04/06","11ELECOM710","470",0,1,0
"11110000880","2020/04/06","11ELECOM710","810",0,1,0
"11110000881","2020/04/06","11ELECOM711","58669",41.67,2,20.835
"11110000881","2020/04/06","11ELECOM711","50731",28.33,1,28.33
"11110000881","2020/04/06","11ELECOM711","810",0,1,0
"11110000881","2020/04/06","11ELECOM711","805",0,2,0
"11110000884","2020/05/06","11ELECOM712","58776",37.5,1,37.5
"11110000884","2020/05/06","11ELECOM712","805",0,1,0
"11110000884","2020/05/06","11ELECOM712","532",0,1,0
"11110000885","2020/05/06","11ELECOM713","50763",28.33,1,28.33
"11110000887","2020/05/06","11ELECOM715","170",24.58,1,24.58
"11110000887","2020/05/06","11ELECOM715","265",26.67,1,26.67
"11110000887","2020/05/06","11ELECOM715","805",0,1,0
"11110000887","2020/05/06","11ELECOM715","810",0,1,0
"11110000888","2020/05/06","11ELECOM716","50869",17.5,1,17.5
"11110000888","2020/05/06","11ELECOM716","807",0,1,0
"11110000888","2020/05/06","11ELECOM716","50443",0,1,0
"11110000889","2020/05/06","11ELECOM717","58362",29.17,1,29.17
"11110000889","2020/05/06","11ELECOM717","530",0,1,0
"11110000889","2020/05/06","11ELECOM717","532",0,1,0
"11110000890","2020/05/06","11ELECOM718","50443",5.75,1,5.75
"11110000890","2020/05/06","11ELECOM718","598",0,1,0
"11110000890","2020/05/06","11ELECOM718","810",0,1,0
"11110000891","2020/05/06","11ELECOM107","297",50,1,50
"11110000891","2020/05/06","11ELECOM107","470",0,1,0
"11110000891","2020/05/06","11ELECOM107","598",0,1,0
"11110000892","2020/05/06","11ELECOM720","944",16.67,1,16.67
"11110000892","2020/05/06","11ELECOM720","810",0,1,0
"11110000892","2020/05/06","11ELECOM720","807",0,1,0
"11110000893","2020/05/06","11ELECOM593","509",4.17,1,4.17
"11110000893","2020/05/06","11ELECOM593","805",0,1,0
"11110000893","2020/05/06","11ELECOM593","598",0,1,0
"11110000894","2020/05/06","11ELECOM351","182",31.67,1,31.67
"11110000894","2020/05/06","11ELECOM351","598",0,1,0
"11110000894","2020/05/06","11ELECOM351","810",0,1,0
"11110000895","2020/05/06","11ELECOM597","50608",8.33,1,8.33
"11110000895","2020/05/06","11ELECOM597","810",0,1,0
"11110000895","2020/05/06","11ELECOM597","598",0,1,0
"11110000896","2020/05/06","11ELECOM722","174",29.17,1,29.17
"11110000896","2020/05/06","11ELECOM722","478",0,1,0
"11110000896","2020/05/06","11ELECOM722","530",0,1,0
"11110000897","2020/05/06","11ELECOM724","50475",3.42,1,3.42
"11110000897","2020/05/06","11ELECOM724","810",0,1,0
"11110000897","2020/05/06","11ELECOM724","598",0,1,0
"11110000898","2020/05/06","11ELECOM723","267",66.67,1,66.67
"11110000899","2020/05/06","11ELECOM354","170",24.58,1,24.58
"11110000899","2020/05/06","11ELECOM354","805",0,1,0
"11110000899","2020/05/06","11ELECOM354","470",0,1,0
"11110000901","2020/05/06","11ELECOM725","48942",56.32,1,56.32
"11110000901","2020/05/06","11ELECOM725","805",0,1,0
"11110000901","2020/05/06","11ELECOM725","598",0,1,0
"11110000900","2020/05/06","11ELECOM602","485",5.83,1,5.83
"11110000900","2020/05/06","11ELECOM602","810",0,1,0
"11110000902","2020/05/06","11ELECOM726","226",18.75,1,18.75
"11110000902","2020/05/06","11ELECOM726","182",31.67,1,31.67
"11110000902","2020/05/06","11ELECOM726","532",0,1,0
"11110000902","2020/05/06","11ELECOM726","530",0,1,0
"11110000903","2020/05/06","11ELECOM727","50475",3.42,1,3.42
"11110000903","2020/05/06","11ELECOM727","810",0,1,0
"11110000903","2020/05/06","11ELECOM727","598",0,1,0
"11110000905","2020/05/06","11ELECOM728","48942",56.32,1,56.32
"11110000905","2020/05/06","11ELECOM728","805",0,1,0
"11110000905","2020/05/06","11ELECOM728","478",0,1,0
"11110000906","2020/05/06","11ELECOM729","48942",56.32,1,56.32
"11110000906","2020/05/06","11ELECOM729","478",0,1,0
"11110000906","2020/05/06","11ELECOM729","805",0,1,0
"11110000907","2020/06/06","11ELECOM730","262",25,1,25
"11110000907","2020/06/06","11ELECOM730","281",25,1,25
"11110000907","2020/06/06","11ELECOM730","274",79.17,1,79.17
"11110000907","2020/06/06","11ELECOM730","167",18.75,1,18.75
"11110000907","2020/06/06","11ELECOM730","226",18.75,1,18.75
"11110000907","2020/06/06","11ELECOM730","598",0,1,0
"11110000907","2020/06/06","11ELECOM730","478",0,1,0
"11110000909","2020/06/06","11ELECOM607","255",23.75,1,23.75
"11110000909","2020/06/06","11ELECOM607","807",0,1,0
"11110000910","2020/06/06","11ELECOM732","48054",31.67,1,31.67
"11110000910","2020/06/06","11ELECOM732","50204",20.83,1,20.83
"11110000910","2020/06/06","11ELECOM732","520",0,1,0
"11110000910","2020/06/06","11ELECOM732","598",0,1,0
"11110000911","2020/06/06","11ELECOM733","273",52.5,1,52.5
"11110000911","2020/06/06","11ELECOM733","231",34.58,1,34.58
"11110000911","2020/06/06","11ELECOM733","598",0,1,0
"11110000911","2020/06/06","11ELECOM733","50443",0,1,0
"11110000912","2020/06/06","11ELECOM356","520",7.08,1,7.08
"11110000912","2020/06/06","11ELECOM356","598",0,1,0
"11110000912","2020/06/06","11ELECOM356","810",0,1,0
"11110000913","2020/06/06","11ELECOM734","58362",29.17,1,29.17
"11110000913","2020/06/06","11ELECOM734","810",0,1,0
"11110000913","2020/06/06","11ELECOM734","805",0,1,0
"11110000914","2020/06/06","11ELECOM735","48054",31.67,1,31.67
"11110000914","2020/06/06","11ELECOM735","805",0,1,0
"11110000914","2020/06/06","11ELECOM735","810",0,1,0
"11110000915","2020/06/06","11ELECOM736","58669",20.83,1,20.83
"11110000915","2020/06/06","11ELECOM736","805",0,1,0
"11110000915","2020/06/06","11ELECOM736","598",0,1,0
"11110000916","2020/06/06","11ELECOM737","349",41.67,1,41.67
"11110000916","2020/06/06","11ELECOM737","807",0,1,0
"11110000916","2020/06/06","11ELECOM737","470",0,1,0
"11110000917","2020/06/06","11ELECOM738","50860",20,1,20
"11110000917","2020/06/06","11ELECOM738","520",0,1,0
"11110000917","2020/06/06","11ELECOM738","805",0,1,0
"11110000918","2020/06/06","11ELECOM739","220",25,1,25
"11110000918","2020/06/06","11ELECOM739","810",0,1,0
"11110000918","2020/06/06","11ELECOM739","530",0,1,0
"11110000919","2020/06/06","11ELECOM740","58772",82.5,1,82.5
"11110000919","2020/06/06","11ELECOM740","50443",0,1,0
"11110000919","2020/06/06","11ELECOM740","478",0,1,0
"11110000919","2020/06/06","11ELECOM740","40410",16.67,1,16.67
"11110000920","2020/06/06","11ELECOM701","50475",3.42,1,3.42
"11110000920","2020/06/06","11ELECOM701","810",0,1,0
"11110000920","2020/06/06","11ELECOM701","598",0,1,0
"11110000921","2020/06/06","11ELECOM741","488",5.83,1,5.83
"11110000921","2020/06/06","11ELECOM741","604",20.17,1,20.17
"11110000921","2020/06/06","11ELECOM741","50443",0,1,0
"11110000921","2020/06/06","11ELECOM741","478",0,1,0
"11110000922","2020/06/06","11ELECOM742","58765",33.25,1,33.25
"11110000922","2020/06/06","11ELECOM742","598",0,1,0
"11110000922","2020/06/06","11ELECOM742","470",0,1,0
"11110000923","2020/06/06","11ELECOM743","174",29.17,1,29.17
"11110000923","2020/06/06","11ELECOM743","520",0,1,0
"11110000923","2020/06/06","11ELECOM743","530",0,1,0
"11110000925","2020/06/06","11ELECOM745","713",24.58,1,24.58
"11110000925","2020/06/06","11ELECOM745","349",41.67,1,41.67
"11110000925","2020/06/06","11ELECOM745","810",7.5,1,7.5
"11110000925","2020/06/06","11ELECOM745","520",7.08,1,7.08
"11110000925","2020/06/06","11ELECOM745","810",0,1,0
"11110000925","2020/06/06","11ELECOM745","520",0,1,0
"11110000926","2020/06/06","11ELECOM746","227",24.58,1,24.58
"11110000926","2020/06/06","11ELECOM746","182",31.67,1,31.67
"11110000926","2020/06/06","11ELECOM746","50443",0,1,0
"11110000926","2020/06/06","11ELECOM746","810",0,1,0
"11110000927","2020/06/06","11ELECOM747","50764",28.33,1,28.33
"11110000927","2020/06/06","11ELECOM747","810",0,1,0
"11110000927","2020/06/06","11ELECOM747","807",0,1,0
"11110000930","2020/06/06","11ELECOM748","511",9.25,1,9.25
"11110000930","2020/06/06","11ELECOM748","810",0,1,0
"11110000930","2020/06/06","11ELECOM748","807",0,1,0
"11110000932","2020/06/06","11ELECOM439","58280",8.33,1,8.33
"11110000932","2020/06/06","11ELECOM439","805",0,1,0
"11110000932","2020/06/06","11ELECOM439","598",0,1,0
"11110000933","2020/06/06","11ELECOM439","50860",20,1,20
"11110000933","2020/06/06","11ELECOM439","805",0,1,0
"11110000933","2020/06/06","11ELECOM439","598",0,1,0
"11110000934","2020/06/06","11ELECOM752","50451",17.5,1,17.5
"11110000934","2020/06/06","11ELECOM752","50443",0,1,0
"11110000934","2020/06/06","11ELECOM752","478",0,1,0
"11110000935","2020/06/06","11ELECOM207","185",66.67,1,66.67
"11110000935","2020/06/06","11ELECOM207","805",0,1,0
"11110000935","2020/06/06","11ELECOM207","50443",0,1,0
"11110000939","2020/07/06","11ELECOM754","58860",35,1,35
"11110000939","2020/07/06","11ELECOM754","810",0,1,0
"11110000940","2020/07/06","11ELECOM755","944",16.67,1,16.67
"11110000940","2020/07/06","11ELECOM755","520",0,1,0
"11110000940","2020/07/06","11ELECOM755","805",0,1,0
"11110000941","2020/07/06","11ELECOM756","213",18.75,1,18.75
"11110000941","2020/07/06","11ELECOM756","520",0,1,0
"11110000941","2020/07/06","11ELECOM756","598",0,1,0
"11110000942","2020/07/06","11ELECOM757","228",18.75,1,18.75
"11110000942","2020/07/06","11ELECOM757","810",0,1,0
"11110000942","2020/07/06","11ELECOM757","470",0,1,0
"11110000943","2020/07/06","11ELECOM758","50423",30.83,1,30.83
"11110000943","2020/07/06","11ELECOM758","50424",30.83,1,30.83
"11110000945","2020/07/06","11ELECOM759","50499",5.75,1,5.75
"11110000945","2020/07/06","11ELECOM759","807",0,1,0
"11110000945","2020/07/06","11ELECOM759","598",0,1,0
"11110000945","2020/07/06","11ELECOM759","50443",5.75,1,5.75
"11110000947","2020/07/06","11ELECOM439","58280",8.33,1,8.33
"11110000947","2020/07/06","11ELECOM439","805",0,1,0
"11110000947","2020/07/06","11ELECOM439","598",0,1,0
"11110000949","2020/07/06","11ELECOM760","50333",30,1,30
"11110000949","2020/07/06","11ELECOM760","50877",28.33,1,28.33
"11110000949","2020/07/06","11ELECOM760","807",0,1,0
"11110000949","2020/07/06","11ELECOM760","532",0,1,0
"11110000951","2020/07/06","11ELECOM441","58776",37.5,1,37.5
"11110000951","2020/07/06","11ELECOM441","58765",33.25,1,33.25
"11110000951","2020/07/06","11ELECOM441","805",0,1,0
"11110000951","2020/07/06","11ELECOM441","470",0,1,0
"11110000950","2020/07/06","11ELECOM761","401",19.17,1,19.17
"11110000950","2020/07/06","11ELECOM761","810",0,1,0
"11110000950","2020/07/06","11ELECOM761","807",0,1,0
"11110000952","2020/07/06","11ELECOM356","50500",5.83,1,5.83
"11110000952","2020/07/06","11ELECOM356","598",0,1,0
"11110000952","2020/07/06","11ELECOM356","807",0,1,0
"11110000954","2020/07/06","11ELECOM762","170",24.58,1,24.58
"11110000954","2020/07/06","11ELECOM762","520",0,1,0
"11110000954","2020/07/06","11ELECOM762","50443",0,1,0
"11110000955","2020/07/06","11ELECOM763","48942",56.32,1,56.32
"11110000955","2020/07/06","11ELECOM763","478",0,1,0
"11110000955","2020/07/06","11ELECOM763","810",0,1,0
"11110000956","2020/07/06","11ELECOM764","262",25,1,25
"11110000956","2020/07/06","11ELECOM764","50443",0,1,0
"11110000956","2020/07/06","11ELECOM764","805",0,1,0
"11110000958","2020/07/06","11ELECOM765","944",16.67,1,16.67
"11110000958","2020/07/06","11ELECOM765","934",16.67,1,16.67
"11110000958","2020/07/06","11ELECOM765","50443",0,1,0
"11110000958","2020/07/06","11ELECOM765","805",0,1,0
"11110000960","2020/07/06","11ELECOM768","285",29.17,1,29.17
"11110000960","2020/07/06","11ELECOM768","807",0,1,0
"11110000960","2020/07/06","11ELECOM768","520",0,1,0
